0.80     ; def        ; 20;20;-            ; 20;20;-
0.90     ; def        ; 20;20;-            ; 20;20;-
1.00     ; def        ; 30;20;20           ; 30;30;20
1.10     ; def        ; 30;20;20           ; 30;30;20
1.20     ; def        ; 30;30;20           ; 40;30;30
1.30     ; def        ; 40;30;30           ; 40;40;30
1.40     ; def        ; 50;40;40           ; 40;40;40
1.50     ; def        ; 60;50;50           ; 60;60;60
1.60     ; def        ; 60;60;50           ; 70;60;70
1.70     ; def        ; 70;70;60           ; 90;70;70
1.80     ; def        ; 80;70;70           ; 100;90;80
1.90     ; def        ; 80;80;80           ; 100;90;80
2.00     ; def        ; 90;80;80           ; 110;110;100
2.00     ; d2.0a30    ; 20;-;-             ; -;-;-
2.10     ; def        ; 80;80;80           ; 100;90;90
2.40     ; def        ; 80;80;70           ; 90;80;80
2.50     ; def        ; 70;60;60           ; 90;80;80
2.80     ; def        ; 60;60;60           ; 80;70;60
3.00     ; def        ; 60;60;50           ; 80;60;60
6.00     ; d6.0a90    ; 15;-;-             ; -;-;-
6.00     ; d6.0a120   ; 15;-;-             ; -;-;-
6.00     ; d6.0a140   ; 15;-;-             ; -;-;-
#-------------------------------------------------------------
 Materials = AL_CORE;CU_CORE
#-------------------------------------------------------------
0.60     ; def        ; 10;-;-             ; 10;-;-
0.70     ; def        ; 10;-;-             ; 10;-;-
0.80     ; def        ; 10;-;-             ; 10;-;-
0.90     ; def        ; 10;-;-             ; 10;-;-
1.00     ; def        ; 20;-;-             ; 20;-;-
1.10     ; def        ; 20;-;-             ; 20;-;-
1.20     ; def        ; 25;-;-             ; 25;-;-
1.30     ; def        ; 30;-;-             ; 30;-;-
1.40     ; def        ; 40;-;-             ; 40;-;-
1.50     ; def        ; 50;-;-             ; 50;-;-
1.60     ; def        ; 55;-;-             ; 55;-;-
1.70     ; def        ; 60;-;-             ; 60;-;-
1.80     ; def        ; 65;-;-             ; 65;-;-
1.90     ; def        ; 70;-;-             ; 70;-;-
2.00     ; def        ; 80;-;-             ; 80;-;-
2.00     ; d2.0a30    ; 20;-;-             ; -;-;-
2.10     ; def        ; 30;-;-             ; 30;-;-
2.40     ; def        ; 30;-;-             ; 30;-;-
2.50     ; def        ; 30;-;-             ; 30;-;-
2.80     ; def        ; 30;-;-             ; 30;-;-
3.00     ; def        ; 30;-;-             ; 30;-;-
6.00     ; d6.0a90    ; 40;-;-             ; -;-;-
6.00     ; d6.0a120   ; 35;-;-             ; -;-;-
6.00     ; d6.0a140   ; 20;-;-             ; -;-;-
#-------------------------------------------------------------
 Materials = PYRALUX; HYBRID_PYRALUX-FR4; THINFLEX; HYBRID_THINFLEX-FR4
#-------------------------------------------------------------
0.60     ; def        ; 20;-;-             ; 20;-;-
0.70     ; def        ; 20;20;-            ; 10;20;-
0.80     ; def        ; 20;20;-            ; 20;20;-
0.90     ; def        ; 20;20;-            ; 20;20;-
1.00     ; def        ; 50;50;50           ; 50;50;50
1.10     ; def        ; 30;20;20           ; 30;30;20
1.20     ; def        ; 30;30;20           ; 40;30;30
1.30     ; def        ; 40;30;30           ; 40;40;30
1.40     ; def        ; 50;40;40           ; 40;40;40
1.50     ; def        ; 60;50;50           ; 60;60;60
1.60     ; def        ; 60;60;50           ; 70;60;70
1.70     ; def        ; 70;70;60           ; 90;70;70
1.80     ; def        ; 80;70;70           ; 100;90;80
1.90     ; def        ; 80;80;80           ; 100;90;80
2.00     ; def        ; 90;80;80           ; 110;110;100
2.00     ; d2.0a30    ; 20;-;-             ; -;-;-
2.10     ; def        ; 80;80;80           ; 100;90;90
2.40     ; def        ; 80;80;70           ; 90;80;80
2.50     ; def        ; 70;60;60           ; 90;80;80
2.80     ; def        ; 60;60;60           ; 80;70;60
3.00     ; def        ; 60;60;50           ; 80;60;60
6.00     ; d6.0a90    ; 15;-;-             ; -;-;-
6.00     ; d6.0a120   ; 15;-;-             ; -;-;-
6.00     ; d6.0a140   ; 15;-;-             ; -;-;-
#=============================================================
 OPERATIONS = RoutBeforeEtch
#-------------------------------------------------------------
# Tool D | Tool type | Rout speed INSIDE  | Rout speed OUTLINE 
#        |           | Packet thickness   | Packet thickness  
#        |           | 1.5 | 3.0 | 4.5    | 1.5 | 3.0 | 4.5     
#=============================================================
 MATERIALS = default
#-------------------------------------------------------------
0.60     ; def        ; 20;-;-             ; 20;-;-
0.70     ; def        ; 20;-;-             ; 20;-;-
0.80     ; def        ; 20;-;-             ; 20;-;-
0.90     ; def        ; 20;-;-             ; 20;-;-
1.00     ; def        ; 20;-;-             ; 20;-;-
1.10     ; def        ; 20;-;-             ; 20;-;-
1.20     ; def        ; 20;-;-             ; 20;-;-
1.30     ; def        ; 20;-;-             ; 20;-;-
1.40     ; def        ; 20;-;-             ; 20;-;-
1.50     ; def        ; 20;-;-             ; 20;-;-
1.60     ; def        ; 20;-;-             ; 20;-;-
1.70     ; def        ; 20;-;-             ; 20;-;-
1.80     ; def        ; 20;-;-             ; 20;-;-
1.90     ; def        ; 20;-;-             ; 20;-;-
2.00     ; def        ; 20;-;-             ; 20;-;-
2.10     ; def        ; 20;-;-             ; 20;-;-
2.40     ; def        ; 20;-;-             ; 20;-;-
2.50     ; def        ; 20;-;-             ; 20;-;-
2.80     ; def        ; 20;-;-             ; 20;-;-
3.00     ; def        ; 20;-;-             ; 20;-;-
#=============================================================
 OPERATIONS = RoutBeforeET
#-------------------------------------------------------------
# Tool D | Tool type | Rout speed INSIDE  | Rout speed OUTLINE 
#        |           | Packet thickness   | Packet thickness  
#        |           | 1.5 | 3.0 | 4.5    | 1.5 | 3.0 | 4.5     
#=============================================================
 Materials = default
#-------------------------------------------------------------
0.60     ; def        ; 20;-;-             ; -;-;-
0.70     ; def        ; 20;20;-            ; -;-;-
0.80     ; def        ; 30;30;-            ; -;-;-
0.90     ; def        ; 30;30;-            ; -;-;-
1.00     ; def        ; 30;30;30           ; -;-;-
1.10     ; def        ; 30;30;30           ; -;-;-
1.20     ; def        ; 30;30;30           ; -;-;-
1.30     ; def        ; 30;30;30           ; -;-;-
1.40     ; def        ; 30;30;30           ; -;-;-
1.50     ; def        ; 30;30;30           ; -;-;-
1.60     ; def        ; 30;30;30           ; -;-;-
1.70     ; def        ; 30;30;30           ; -;-;-
1.80     ; def        ; 30;30;30           ; -;-;-
1.90     ; def        ; 30;30;30           ; -;-;-
2.00     ; def        ; 30;30;30           ; -;-;-
2.10     ; def        ; 30;30;30           ; -;-;-
2.40     ; def        ; 30;30;30           ; -;-;-
2.50     ; def        ; 30;30;30           ; -;-;-
2.80     ; def        ; 30;30;30           ; -;-;-
3.00     ; def        ; 30;30;30           ; -;-;-
#=============================================================
 OPERATIONS = PrepregRout; CoverlayRout; TapeRout 
#-------------------------------------------------------------
# Tool D | Tool type | Rout speed INSIDE  | Rout speed OUTLINE 
#        |           | Packet thickness   | Packet thickness  
#        |           | 1.5 | 3.0 | 4.5    | 1.5 | 3.0 | 4.5     
#=============================================================
 MATERIALS = default
#-------------------------------------------------------------
0.60     ; def        ; 40;-;-             ; 40;-;-
0.70     ; def        ; 20;20;-            ; 10;20;-
0.80     ; def        ; 20;20;-            ; 20;20;-
0.90     ; def        ; 20;20;-            ; 20;20;-
1.00     ; def        ; 50;50;50           ; 50;50;50
1.10     ; def        ; 30;20;20           ; 30;30;20
1.20     ; def        ; 30;30;20           ; 40;30;30
1.30     ; def        ; 40;30;30           ; 40;40;30
1.40     ; def        ; 50;40;40           ; 40;40;40
1.50     ; def        ; 60;50;50           ; 60;60;60
1.60     ; def        ; 60;60;50           ; 70;60;70
1.70     ; def        ; 70;70;60           ; 90;70;70
1.80     ; def        ; 80;70;70           ; 100;90;80
1.90     ; def        ; 80;80;80           ; 100;90;80
2.00     ; def        ; 90;80;80           ; 110;110;100
2.10     ; def        ; 80;80;80           ; 100;90;90
2.40     ; def        ; 80;80;70           ; 90;80;80
2.50     ; def        ; 70;60;60           ; 90;80;80
2.80     ; def        ; 60;60;60           ; 80;70;60
3.00     ; def        ; 60;60;50           ; 80;60;60
